date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:42	4402/4402	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c478159-1132%22	https://html.dynamiclayers.net/at/apptex/js/main.js	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/js/main.js	(from https://html.dynamiclayers.net/at/apptex/index.html)
12:18:44	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2258bfd29a-12d68%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont3e6e.woff2	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd29a-2876e%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont3e6e.eot	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd29a-2876e%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.eot?	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfontd41d.eot	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:46	98024/98024	---M--	200	added ('OK')	application/x-font-woff	etag:%2258bfd29a-17ee8%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont3e6e.woff	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:46	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258bfd29a-286ac%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont3e6e.ttf	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:46	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22594597ae-1339c%22	https://html.dynamiclayers.net/at/apptex/fonts/themify.eot?-fvbane	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/themify9f24.eot	(from https://html.dynamiclayers.net/at/apptex/css/themify-icons.css)
12:18:46	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258bfd29a-6c7db%22	https://html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/fontawesome-webfont3e6e.svg	(from https://html.dynamiclayers.net/at/apptex/css/font-awesome.min.css)
12:18:46	56108/56108	---M--	200	added ('OK')	application/x-font-woff	etag:%22594597ae-db2c%22	https://html.dynamiclayers.net/at/apptex/fonts/themify.woff?-fvbane	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/themify9f24.woff	(from https://html.dynamiclayers.net/at/apptex/css/themify-icons.css)
12:18:47	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22594597ae-1339c%22	https://html.dynamiclayers.net/at/apptex/fonts/themify.eot?	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/themifyd41d.eot	(from https://html.dynamiclayers.net/at/apptex/css/themify-icons.css)
